name,parent,href,n_sub
Outbound Call Tracking Software,Sales Acceleration Software,https://www.g2.com/categories/outbound-call-tracking,0
Presales Software,Sales Acceleration Software,https://www.g2.com/categories/presales,0
Sales Coaching Software,Sales Acceleration Software,https://www.g2.com/categories/sales-coaching,0
Sales Enablement Software,Sales Acceleration Software,https://www.g2.com/categories/sales-enablement,0
Sales Engagement Software,Sales Acceleration Software,https://www.g2.com/categories/sales-engagement,0
Salesforce CRM Document Generation Software,Sales Acceleration Software,https://www.g2.com/categories/salesforce-crm-document-generation,0
Sales Performance Management Software,Sales Acceleration Software,https://www.g2.com/categories/sales-performance-management,0
Sales Training and Onboarding Software,Sales Acceleration Software,https://www.g2.com/categories/sales-training-and-onboarding,0
Sales Acceleration Platforms,Sales Software,https://www.g2.com/categories/sales-acceleration-platforms,0
Sales Analytics Software,Sales Software,https://www.g2.com/categories/sales-analytics,0
Sales Gamification Software,Sales Software,https://www.g2.com/categories/sales-gamification,0
Sales Intelligence Software,Sales Software,https://www.g2.com/categories/sales-intelligence,0
Sales Platforms Software,Sales Software,https://www.g2.com/categories/sales-platforms,0
Account-Based Marketing Software,Marketing Software,https://www.g2.com/categories/account-based-marketing,5
Account-Based Analytics Software,Account-Based Marketing Software,https://www.g2.com/categories/account-based-analytics,0
Account-Based Data  Software,Account-Based Marketing Software,https://www.g2.com/categories/account-based-data,2
Buyer Intent Data Tools ,Account-Based Data  Software,https://www.g2.com/categories/buyer-intent-data-tools,0
Marketing Account Intelligence Software,Account-Based Data  Software,https://www.g2.com/categories/marketing-account-intelligence,0
Account-Based Execution Software,Account-Based Marketing Software,https://www.g2.com/categories/account-based-execution,3
Account-Based Advertising Software,Account-Based Execution Software,https://www.g2.com/categories/account-based-advertising,0
Account-Based Direct Mail Software,Account-Based Execution Software,https://www.g2.com/categories/account-based-direct-mail,0
Account-Based Web and Content Experiences Software  ,Account-Based Execution Software,https://www.g2.com/categories/account-based-web-and-content-experiences,0
Account-Based Orchestration Platforms,Account-Based Marketing Software,https://www.g2.com/categories/account-based-orchestration-platforms,0
Account Data Management Software,Account-Based Marketing Software,https://www.g2.com/categories/account-data-management,0
Affiliate Marketing Software,Marketing Software,https://www.g2.com/categories/affiliate-marketing,0
App Store Optimization Software,Marketing Software,https://www.g2.com/categories/app-store-optimization,0
Attribution Software,Marketing Software,https://www.g2.com/categories/attribution,0
Audience Intelligence Platforms,Marketing Software,https://www.g2.com/categories/audience-intelligence-platforms,0
B2B Services Review Platforms,Marketing Software,https://www.g2.com/categories/b2b-services-review-platforms,0
Blogger Outreach Software,Marketing Software,https://www.g2.com/categories/blogger-outreach,0
Book Marketing Tools,Marketing Software,https://www.g2.com/categories/book-marketing-tools,0
Competitive Intelligence Software,Marketing Software,https://www.g2.com/categories/competitive-intelligence,0
Consumer Video Feedback Software,Marketing Software,https://www.g2.com/categories/consumer-video-feedback,0
Content Marketing Software,Marketing Software,https://www.g2.com/categories/content-marketing,5
Content Analytics Software,Content Marketing Software,https://www.g2.com/categories/content-analytics,0
Content Creation Software,Content Marketing Software,https://www.g2.com/categories/content-creation,0
Content Curation Software,Content Marketing Software,https://www.g2.com/categories/content-curation,0
Content Distribution Software,Content Marketing Software,https://www.g2.com/categories/content-distribution,0
Content Experience Platforms,Content Marketing Software,https://www.g2.com/categories/content-experience-platforms,0
Conversational Marketing Software,Marketing Software,https://www.g2.com/categories/conversational-marketing,0
Conversion Rate Optimization Software,Marketing Software,https://www.g2.com/categories/conversion-rate-optimization,6
A/B Testing Software,Conversion Rate Optimization Software,https://www.g2.com/categories/a-b-testing,0
Heatmap Tools,Conversion Rate Optimization Software,https://www.g2.com/categories/heatmap-tools,0
Landing Page Builders,Conversion Rate Optimization Software,https://www.g2.com/categories/landing-page-builders,0
Other Conversion Rate Optimization Software,Conversion Rate Optimization Software,https://www.g2.com/categories/other-conversion-rate-optimization,0
Product Analytics Software,Conversion Rate Optimization Software,https://www.g2.com/categories/product-analytics,0
Session Replay Software,Conversion Rate Optimization Software,https://www.g2.com/categories/session-replay,0
Customer Data Platforms (CDP),Marketing Software,https://www.g2.com/categories/customer-data-platform-cdp,0
Customer Journey Analytics Software,Marketing Software,https://www.g2.com/categories/customer-journey-analytics,0
Customer Journey Mapping Software,Marketing Software,https://www.g2.com/categories/customer-journey-mapping,0
Customer-to-Customer (C2C) Community Marketing Software,Marketing Software,https://www.g2.com/categories/customer-to-customer-c2c-community-marketing,0
Demand Generation Software,Marketing Software,https://www.g2.com/categories/demand-generation,3
Brand Advocacy Software,Demand Generation Software,https://www.g2.com/categories/brand-advocacy,2
Customer Advocacy Software,Brand Advocacy Software,https://www.g2.com/categories/customer-advocacy,0
Employee Advocacy Software,Brand Advocacy Software,https://www.g2.com/categories/employee-advocacy,0
Lead Generation Software,Demand Generation Software,https://www.g2.com/categories/lead-generation,6
Lead Capture Software,Lead Generation Software,https://www.g2.com/categories/lead-capture,0
Lead Intelligence Software,Lead Generation Software,https://www.g2.com/categories/lead-intelligence,0
Lead Mining Software,Lead Generation Software,https://www.g2.com/categories/lead-mining,0
Lead Scoring Software,Lead Generation Software,https://www.g2.com/categories/lead-scoring,0
Other Lead Generation Software,Lead Generation Software,https://www.g2.com/categories/other-lead-generation,0
Visitor Identification Software,Lead Generation Software,https://www.g2.com/categories/visitor-identification,0
Loyalty Management Software,Demand Generation Software,https://www.g2.com/categories/loyalty-management,0
Digital Analytics Software,Marketing Software,https://www.g2.com/categories/digital-analytics,0
Digital Signage Software,Marketing Software,https://www.g2.com/categories/digital-signage,0
Direct Mail Automation Software,Marketing Software,https://www.g2.com/categories/direct-mail-automation,0
Email Deliverability Software,Marketing Software,https://www.g2.com/categories/email-deliverability,0
Email Marketing Software,Marketing Software,https://www.g2.com/categories/email-marketing,0
Email Signature Software,Marketing Software,https://www.g2.com/categories/email-signature,0
Email Template Builder Software,Marketing Software,https://www.g2.com/categories/email-template-builder,0
Email Testing Software,Marketing Software,https://www.g2.com/categories/email-testing,0
Event Management Software,Marketing Software,https://www.g2.com/categories/event-management,12
Audience Response Software,Event Management Software,https://www.g2.com/categories/audience-response,0
Box Office Software,Event Management Software,https://www.g2.com/categories/box-office,0
Event Management Platforms,Event Management Software,https://www.g2.com/categories/event-management-platforms,0
Event Marketing Software,Event Management Software,https://www.g2.com/categories/event-marketing,0
Event Networking and Matchmaking,Event Management Software,https://www.g2.com/categories/event-networking-and-matchmaking,0
Event Planning Software,Event Management Software,https://www.g2.com/categories/event-planning,0
Event Registration and Ticketing Software,Event Management Software,https://www.g2.com/categories/event-registration-ticketing,0
Lead Retrieval Software,Event Management Software,https://www.g2.com/categories/lead-retrieval,0
Mobile Event Apps,Event Management Software,https://www.g2.com/categories/mobile-event-apps,0
Other Event Management Software,Event Management Software,https://www.g2.com/categories/other-event-management,0
Venue Management Software,Event Management Software,https://www.g2.com/categories/venue-management,0
Virtual Event Platforms,Event Management Software,https://www.g2.com/categories/virtual-event-platforms,0
Gamification Software,Marketing Software,https://www.g2.com/categories/gamification,0
Inbound Call Tracking Software,Marketing Software,https://www.g2.com/categories/inbound-call-tracking,0
Local Marketing Software,Marketing Software,https://www.g2.com/categories/local-marketing,3
Local Listing Management Software,Local Marketing Software,https://www.g2.com/categories/local-listing-management,0
Local SEO Software,Local Marketing Software,https://www.g2.com/categories/local-seo,0
Store Locator Software,Local Marketing Software,https://www.g2.com/categories/store-locator,0
Location-Based Marketing Software,Marketing Software,https://www.g2.com/categories/location-based-marketing,0
Marketing Analytics Software,Marketing Software,https://www.g2.com/categories/marketing-analytics,0
Marketing Automation Software,Marketing Software,https://www.g2.com/categories/marketing-automation,0
Marketing Calendar Software,Marketing Software,https://www.g2.com/categories/marketing-calendar,0
Marketing Platforms Software,Marketing Software,https://www.g2.com/categories/marketing-platforms,0
Marketing Resource Management Software,Marketing Software,https://www.g2.com/categories/marketing-resource-management,0
Market Intelligence Software,Marketing Software,https://www.g2.com/categories/market-intelligence,0
Mobile Attribution Software,Marketing Software,https://www.g2.com/categories/mobile-attribution,0
Mobile Marketing Software,Marketing Software,https://www.g2.com/categories/mobile-marketing,0
Multi-level Marketing (MLM) Software,Marketing Software,https://www.g2.com/categories/multi-level-marketing-mlm,0
Online Community Management Software,Marketing Software,https://www.g2.com/categories/online-community-management,0
Online Reputation Management Software,Marketing Software,https://www.g2.com/categories/online-reputation-management,0
Other Marketing Software,Marketing Software,https://www.g2.com/categories/other-marketing,0
Personalization Software,Marketing Software,https://www.g2.com/categories/personalization,0
Personalization Engines,Marketing Software,https://www.g2.com/categories/personalization-engines,0
Pop-Up Builder Software,Marketing Software,https://www.g2.com/categories/pop-up-builder,0
Print Fulfillment Software,Marketing Software,https://www.g2.com/categories/print-fulfillment,0
Promotional Product Management Software,Marketing Software,https://www.g2.com/categories/promotional-product-management,0
Public Relations (PR) Software,Marketing Software,https://www.g2.com/categories/public-relations-pr,6
Media and Influencer Targeting Software,Public Relations (PR) Software,https://www.g2.com/categories/media-and-influencer-targeting,0
Media Monitoring Software,Public Relations (PR) Software,https://www.g2.com/categories/media-monitoring,0
Other Public Relations Software,Public Relations (PR) Software,https://www.g2.com/categories/other-public-relations,0
PR Analytics Software,Public Relations (PR) Software,https://www.g2.com/categories/pr-analytics,0
PR CRM Software,Public Relations (PR) Software,https://www.g2.com/categories/pr-crm,0
Press Release Distribution Software,Public Relations (PR) Software,https://www.g2.com/categories/press-release-distribution,0
Push Notification Software,Marketing Software,https://www.g2.com/categories/push-notification,0
QR Code Generator Software,Marketing Software,https://www.g2.com/categories/qr-code-generator,0
Rewards and Incentives Software,Marketing Software,https://www.g2.com/categories/rewards-and-incentives,0
SEO Software,Marketing Software,https://www.g2.com/categories/seo,0
Smart Link Software,Marketing Software,https://www.g2.com/categories/smart-link,0
SMS Marketing Software,Marketing Software,https://www.g2.com/categories/sms-marketing,0
Social Media Marketing Software,Marketing Software,https://www.g2.com/categories/social-media-marketing,7
Hashtag Monitoring Software,Social Media Marketing Software,https://www.g2.com/categories/hashtag-monitoring,0
Influencer Marketing Platforms,Social Media Marketing Software,https://www.g2.com/categories/influencer-marketing-platforms,0
Other Social Media Software,Social Media Marketing Software,https://www.g2.com/categories/other-social-media,0
Social Media Analytics Software,Social Media Marketing Software,https://www.g2.com/categories/social-media-analytics,0
Social Media Management Software,Social Media Marketing Software,https://www.g2.com/categories/social-media-mgmt,0
Social Media Monitoring Software,Social Media Marketing Software,https://www.g2.com/categories/social-media-monitoring,0
Social Media Suites,Social Media Marketing Software,https://www.g2.com/categories/social-media-suites,0
Sweepstakes Software,Marketing Software,https://www.g2.com/categories/sweepstakes,0
Tag Management Software,Marketing Software,https://www.g2.com/categories/tag-management,0
Technology Research Services,Marketing Software,https://www.g2.com/categories/technology-research-services,0
Technology Review Platforms,Marketing Software,https://www.g2.com/categories/technology-review-platforms,0
Through-Channel Marketing Software,Marketing Software,https://www.g2.com/categories/through-channel-marketing,0
Transactional Email Software,Marketing Software,https://www.g2.com/categories/transactional-email,0
URL Shortener,Marketing Software,https://www.g2.com/categories/url-shortener,0
User Research Software,Marketing Software,https://www.g2.com/categories/user-research,0
Webinar Software,Marketing Software,https://www.g2.com/categories/webinar,0
Analytics Platforms,Analytics Software,https://www.g2.com/categories/analytics-platforms,0
Business Intelligence Software,Analytics Software,https://www.g2.com/categories/business-intelligence,3
Data Visualization Software,Business Intelligence Software,https://www.g2.com/categories/data-visualization,0
Embedded Business Intelligence Software,Business Intelligence Software,https://www.g2.com/categories/embedded-business-intelligence,0
Location Intelligence Software,Business Intelligence Software,https://www.g2.com/categories/location-intelligence,0
Data Virtualization Software,Analytics Software,https://www.g2.com/categories/data-virtualization,0
Drone Analytics Software,Analytics Software,https://www.g2.com/categories/drone-analytics,0
Enterprise Search Software,Analytics Software,https://www.g2.com/categories/enterprise-search-software,0
Insight Engines Software,Analytics Software,https://www.g2.com/categories/insight-engines,0
Other Analytics Software,Analytics Software,https://www.g2.com/categories/other-analytics,0
Predictive Analytics Software,Analytics Software,https://www.g2.com/categories/predictive-analytics,0
Statistical Analysis Software,Analytics Software,https://www.g2.com/categories/statistical-analysis,0
Text Analysis Software,Analytics Software,https://www.g2.com/categories/text-analysis,0
Time Series Intelligence Software,Analytics Software,https://www.g2.com/categories/time-series-intelligence,0
Visitor Behavior Intelligence Software,Analytics Software,https://www.g2.com/categories/visitor-behavior-intelligence,0
AI & Machine Learning Operationalization (MLOps) Software,Artificial Intelligence Software,https://www.g2.com/categories/ai-machine-learning-operationalization,0
Conversational Intelligence Software,Artificial Intelligence Software,https://www.g2.com/categories/conversational-intelligence,4
Bot Platforms Software,Conversational Intelligence Software,https://www.g2.com/categories/bot-platforms,0
Chatbots Software,Conversational Intelligence Software,https://www.g2.com/categories/chatbots,0
Intelligent Virtual Assistants Software,Conversational Intelligence Software,https://www.g2.com/categories/intelligent-virtual-assistants,0
Natural Language Processing (NLP) Software,Conversational Intelligence Software,https://www.g2.com/categories/natural-language-processing-nlp,3
Natural Language Generation (NLG) Software,Natural Language Processing (NLP) Software,https://www.g2.com/categories/natural-language-generation-nlg,0
Natural Language Understanding (NLU) Software,Natural Language Processing (NLP) Software,https://www.g2.com/categories/natural-language-understanding-nlu,0
Text to Speech Software,Natural Language Processing (NLP) Software,https://www.g2.com/categories/text-to-speech,0
Data Labeling Software,Artificial Intelligence Software,https://www.g2.com/categories/data-labeling,0
Data Science and Machine Learning Platforms,Artificial Intelligence Software,https://www.g2.com/categories/data-science-and-machine-learning-platforms,0
Deep Learning Software,Artificial Intelligence Software,https://www.g2.com/categories/deep-learning,3
Artificial Neural Network Software,Deep Learning Software,https://www.g2.com/categories/artificial-neural-network,0
Image Recognition Software,Deep Learning Software,https://www.g2.com/categories/image-recognition,0
Voice Recognition Software,Deep Learning Software,https://www.g2.com/categories/voice-recognition,0
Machine Learning Software,Artificial Intelligence Software,https://www.g2.com/categories/machine-learning,0
Synthetic Data Software,Artificial Intelligence Software,https://www.g2.com/categories/synthetic-data,0
Video Surveillance Software,Artificial Intelligence Software,https://www.g2.com/categories/video-surveillance,0
Augmented Reality Software,AR/VR Software,https://www.g2.com/categories/augmented-reality,7
AR Collaboration Tools,Augmented Reality Software,https://www.g2.com/categories/ar-collaboration-tools,0
Augmented Reality (AR) Content Management Systems,Augmented Reality Software,https://www.g2.com/categories/ar-content-management-systems,0
Augmented Reality (AR) Development Software,Augmented Reality Software,https://www.g2.com/categories/ar-development,2
Augmented Reality (AR) SDK Software,Augmented Reality (AR) Development Software,https://www.g2.com/categories/ar-sdk,0
AR WYSIWYG Editor Software,Augmented Reality (AR) Development Software,https://www.g2.com/categories/ar-wysiwyg-editor,0
Augmented Reality (AR) Game Engine,Augmented Reality Software,https://www.g2.com/categories/ar-game-engine,0
Augmented Reality (AR) Training Simulator Software,Augmented Reality Software,https://www.g2.com/categories/ar-training-simulator,0
Augmented Reality (AR) Visualization Software,Augmented Reality Software,https://www.g2.com/categories/ar-visualization,0
Industrial AR Platforms,Augmented Reality Software,https://www.g2.com/categories/industrial-ar-platforms,0
Virtual Reality Software,AR/VR Software,https://www.g2.com/categories/virtual-reality,6
Virtual Reality (VR) Collaboration Platforms,Virtual Reality Software,https://www.g2.com/categories/vr-collaboration,0
VR Content Management Systems ,Virtual Reality Software,https://www.g2.com/categories/vr-content-management-systems,0
Virtual Reality (VR) Development Software,Virtual Reality Software,https://www.g2.com/categories/vr-development,2
Virtual Reality (VR) Marketplaces,Virtual Reality (VR) Development Software,https://www.g2.com/categories/vr-marketplace,0
Virtual Reality (VR) Software Development Kits,Virtual Reality (VR) Development Software,https://www.g2.com/categories/vr-sdk,0
Virtual Reality (VR) Game Engines,Virtual Reality Software,https://www.g2.com/categories/vr-game-engine,0
VR Training Simulator Software,Virtual Reality Software,https://www.g2.com/categories/vr-training-simulator,0
VR Visualization Software,Virtual Reality Software,https://www.g2.com/categories/vr-visualization,0
Merchant Marketing Software,B2B Marketplaces,https://www.g2.com/categories/merchant-marketing,0
On-Demand Delivery Software,B2B Marketplaces,https://www.g2.com/categories/on-demand-delivery,3
Grocery Delivery Software,On-Demand Delivery Software,https://www.g2.com/categories/grocery-delivery,0
On-Demand Catering Software,On-Demand Delivery Software,https://www.g2.com/categories/on-demand-catering,0
Restaurant Delivery/Takeout Software,On-Demand Delivery Software,https://www.g2.com/categories/restaurant-delivery-takeout,0
On-Demand Wellness Software,B2B Marketplaces,https://www.g2.com/categories/on-demand-wellness,0
Ride Sharing Software,B2B Marketplaces,https://www.g2.com/categories/ride-sharing,0
Business Filing and Licensing Providers,Business Services Providers,https://www.g2.com/categories/business-filing-and-licensing,0
Business Finance Providers,Business Services Providers,https://www.g2.com/categories/business-finance,0
409A Valuations Providers Service,Business Finance  Providers,https://www.g2.com/categories/409a-valuations-providers,0
Accounting Firms ,Business Finance  Providers,https://www.g2.com/categories/accounting-firms,0
Auditing Services Providers,Business Finance  Providers,https://www.g2.com/categories/auditing-services,0
Bookkeeping Services Providers,Business Finance  Providers,https://www.g2.com/categories/bookkeeping-services,0
Enterprise Performance Management (EPM) Consultants Providers,Business Finance  Providers,https://www.g2.com/categories/enterprise-performance-management-epm-consultants,0
Finance and Accounting Business Process Outsourcing Service Providers,Business Finance  Providers,https://www.g2.com/categories/finance-and-accounting-business-process-outsourcing-service,0
Financial Consulting Providers,Business Finance  Providers,https://www.g2.com/categories/financial-consulting,0
Investment Firms ,Business Finance  Providers,https://www.g2.com/categories/investment-firms,0
Other Business Finance  Providers,Business Finance  Providers,https://www.g2.com/categories/other-business-finance,0
Tax Services Providers,Business Finance  Providers,https://www.g2.com/categories/tax-services,0
Business Plan Consulting Providers,Business Services Providers,https://www.g2.com/categories/business-plan-consulting,0
Business Travel Management Services Providers,Business Services Providers,https://www.g2.com/categories/business-travel-management-services,0
Contact Center Consulting Providers,Business Services Providers,https://www.g2.com/categories/contact-center-consulting,0
Contact Center Outsourcing Service Providers,Business Services Providers,https://www.g2.com/categories/contact-center-outsourcing-services,0
Customer Success Training Providers,Business Services Providers,https://www.g2.com/categories/customer-success-training,0
Data Center Infrastructure Providers,Business Services Providers,https://www.g2.com/categories/data-center-infrastructure,0
Energy Consulting Providers,Business Services Providers,https://www.g2.com/categories/energy-consulting,0
Expert Networks,Business Services Providers,https://www.g2.com/categories/expert-networks,0
HR Services Providers,Business Services Providers,https://www.g2.com/categories/hr-services,13
Benefits Consulting Providers,HR Services Providers,https://www.g2.com/categories/benefits-consulting,0
Corporate Wellness Consulting Providers,HR Services Providers,https://www.g2.com/categories/corporate-wellness-consulting,0
Diversity &amp; Inclusion Consulting Providers,HR Services Providers,https://www.g2.com/categories/diversity-inclusion-consulting,0
Health &amp; Safety Providers,HR Services Providers,https://www.g2.com/categories/health-safety,0
HR Analytics Consulting Providers,HR Services Providers,https://www.g2.com/categories/hr-analytics-consulting,0
HR Consulting Providers,HR Services Providers,https://www.g2.com/categories/hr-consulting,0
Leadership Training Providers,HR Services Providers,https://www.g2.com/categories/leadership-training,0
Negotiation Training Providers,HR Services Providers,https://www.g2.com/categories/negotiation-training,0
Other HR Services Providers,HR Services Providers,https://www.g2.com/categories/other-hr-services,0
Outplacement Providers,HR Services Providers,https://www.g2.com/categories/outplacement,0
Payroll Services Providers,HR Services Providers,https://www.g2.com/categories/payroll-services,0
Relocation Management Services,HR Services Providers,https://www.g2.com/categories/relocation-management-services,0
Training &amp; Development Companies,HR Services Providers,https://www.g2.com/categories/training-development,0
International PEO Services,Business Services Providers,https://www.g2.com/categories/international-peo,0
Internet Service Providers (ISPs),Business Services Providers,https://www.g2.com/categories/internet-service-providers-isps,0
Legal Services Providers,Business Services Providers,https://www.g2.com/categories/legal-services,3
Corporate Law Firms ,Legal Services Providers,https://www.g2.com/categories/corporate-law-firms,0
Intellectual Property (IP) Law Firms,Legal Services Providers,https://www.g2.com/categories/intellectual-property-ip-law,0
Other Legal Services Providers,Legal Services Providers,https://www.g2.com/categories/other-legal-services,0
Managed Print Services,Business Services Providers,https://www.g2.com/categories/managed-print-services,0
Management Consulting Providers,Business Services Providers,https://www.g2.com/categories/management-consulting,0
Nonprofit Consulting Providers,Business Services Providers,https://www.g2.com/categories/nonprofit-consulting,0
Outsourced Sales Providers,Business Services Providers,https://www.g2.com/categories/outsourced-sales-providers,0
Revenue Operations Services,Business Services Providers,https://www.g2.com/categories/revenue-operations-services,0
Sales Consulting Providers,Business Services Providers,https://www.g2.com/categories/sales-consulting,0
Sales Training Providers,Business Services Providers,https://www.g2.com/categories/sales-training,0
Supply Chain Strategy and Operations Consulting Providers,Business Services Providers,https://www.g2.com/categories/supply-chain-strategy-and-operations-consulting,0
Virtual Receptionist Services Providers,Business Services Providers,https://www.g2.com/categories/virtual-receptionist-services,0
Win-Loss Analysis Services Providers,Business Services Providers,https://www.g2.com/categories/win-loss-analysis-services,0
3D Printing Software,CAD & PLM Software,https://www.g2.com/categories/3d-printing,0
BIM Objects Software,CAD & PLM Software,https://www.g2.com/categories/bim-objects,0
CAD Software,CAD & PLM Software,https://www.g2.com/categories/cad,11
Building Design and Building Information Modeling (BIM) Software,CAD Software,https://www.g2.com/categories/building-design-and-building-information-modeling-bim,0
CAD Data Exchange Software,CAD Software,https://www.g2.com/categories/cad-data-exchange,0
CAD Libraries,CAD Software,https://www.g2.com/categories/cad-libraries,0
CAD Viewers,CAD Software,https://www.g2.com/categories/cad-viewers,0
Civil Engineering Design Software,CAD Software,https://www.g2.com/categories/civil-engineering-design,0
General-Purpose CAD Software,CAD Software,https://www.g2.com/categories/general-purpose-cad,0
MEP Software,CAD Software,https://www.g2.com/categories/mep,0
Other CAD Software,CAD Software,https://www.g2.com/categories/other-cad,0
PCB Design Software,CAD Software,https://www.g2.com/categories/pcb-design,0
Product and Machine Design Software,CAD Software,https://www.g2.com/categories/product-and-machine-design,0
Sketching Software,CAD Software,https://www.g2.com/categories/sketching,0
Computer-Aided Manufacturing Software,CAD & PLM Software,https://www.g2.com/categories/computer-aided-manufacturing,0
GIS Software,CAD & PLM Software,https://www.g2.com/categories/gis,0
Photogrammetry Software,CAD & PLM Software,https://www.g2.com/categories/photogrammetry,0
PLM Software,CAD & PLM Software,https://www.g2.com/categories/plm,0
Product Data Management (PDM) Software,CAD & PLM Software,https://www.g2.com/categories/product-data-management-pdm,0
Simulation & CAE Software,CAD & PLM Software,https://www.g2.com/categories/simulation-cae,0
Urban Planning and Design Software,CAD & PLM Software,https://www.g2.com/categories/urban-planning-and-design,0
Team Collaboration Software,Collaboration & Productivity Software,https://www.g2.com/categories/team-collaboration,5
Collaborative Whiteboard Software,Team Collaboration Software,https://www.g2.com/categories/collaborative-whiteboard,0
Employee Intranet Software,Team Collaboration Software,https://www.g2.com/categories/employee-intranet,0
Screen Sharing Software,Team Collaboration Software,https://www.g2.com/categories/screen-sharing,0
Virtual Workplaces,Team Collaboration Software,https://www.g2.com/categories/virtual-workspaces,0
Visual Collaboration Platforms,Team Collaboration Software,https://www.g2.com/categories/visual-collaboration-platforms,0
Other Collaboration Software,Collaboration & Productivity Software,https://www.g2.com/categories/other-collaboration,0
Audio Conferencing Software,Collaboration & Productivity Software,https://www.g2.com/categories/audio-conferencing,0
Board Management Software,Collaboration & Productivity Software,https://www.g2.com/categories/board-management,0
Business Scheduling Software,Collaboration & Productivity Software,https://www.g2.com/categories/business-scheduling,0
Decision-Making Software,Collaboration & Productivity Software,https://www.g2.com/categories/decision-making,0
Digital Adoption Platforms,Collaboration & Productivity Software,https://www.g2.com/categories/digital-adoption-platform,0
Google Workspace Marketplace,Collaboration & Productivity Software,https://www.g2.com/categories/google-workspace-marketplace,5
Google Workspace Business Tools ,Google Workspace Marketplace,https://www.g2.com/categories/google-workspace-business-tools,6
Google Workspace Administration Software,Google Workspace Business Tools ,https://www.g2.com/categories/google-workspace-administration,0
Google Workspace ERP Software,Google Workspace Business Tools ,https://www.g2.com/categories/google-workspace-erp,0
Google Workspace for Finance Software,Google Workspace Business Tools ,https://www.g2.com/categories/google-workspace-for-finance,0
Google Workspace for HR Software,Google Workspace Business Tools ,https://www.g2.com/categories/google-workspace-for-hr,0
Google Workspace for Marketing Software,Google Workspace Business Tools ,https://www.g2.com/categories/google-workspace-for-marketing,0
Google Workspace for Sales Software,Google Workspace Business Tools ,https://www.g2.com/categories/google-workspace-for-sales,0
Google Workspace Communication Tools ,Google Workspace Marketplace,https://www.g2.com/categories/google-workspace-communication-tools,0
Google Workspace Education Software,Google Workspace Marketplace,https://www.g2.com/categories/google-workspace-education,2
Google Workspace Academic Software,Google Workspace Education Software,https://www.g2.com/categories/google-workspace-academic,0
Google Workspace Teacher Resources,Google Workspace Education Software,https://www.g2.com/categories/google-workspace-teacher-resources,0
Google Workspace Productivity Tools ,Google Workspace Marketplace,https://www.g2.com/categories/google-workspace-productivity-tools,4
Google Workspace Creative Tools ,Google Workspace Productivity Tools ,https://www.g2.com/categories/google-workspace-creative-tools,0
Google Workspace Development Tools ,Google Workspace Productivity Tools ,https://www.g2.com/categories/google-workspace-development-tools,0
Google Workspace Office Tools ,Google Workspace Productivity Tools ,https://www.g2.com/categories/google-workspace-office-tools,0
Google Workspace Project Management Software,Google Workspace Productivity Tools ,https://www.g2.com/categories/google-workspace-project-management,0
Google Workspace Utilities Software,Google Workspace Marketplace,https://www.g2.com/categories/google-workspace-utilities,0
Idea Management Software,Collaboration & Productivity Software,https://www.g2.com/categories/idea-management,0
Internal Communications Software,Collaboration & Productivity Software,https://www.g2.com/categories/internal-communications,2
Business Instant Messaging Software,Internal Communications Software,https://www.g2.com/categories/business-instant-messaging,0
Employee Communications Software,Internal Communications Software,https://www.g2.com/categories/employee-communications,0
Meeting Management Software,Collaboration & Productivity Software,https://www.g2.com/categories/meeting-management,0
